district,mandal,industry_category,type_of_industry,unit_name,line_of_activity,investment,employement,present_status,export,type_of_connection,ie_or_not,district_name,mandal_name,employment,presentstatus,typeofindustry,typeofconnection
Hyderabad,Charminar,Small,Proprietary,Sainor Laboratories Pvt Ltd,Rope (Plastic And Cotton),300000.0,4.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Medicube Health Care Private Limited,Printing Press,500000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,M K Furniture,"Carpentry & Wooden Furniture Manufacturing (Excluding Saw Mill) With The Help Of Electrical (Motorized) Machines Such As Electrical Wood Planner, Steel Saw Cutting Circular Blade, Etc",350000.0,4.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Charminar,Small,Proprietary,Sri Sri Rama Products,Compact Disc Computer Floppy And Cassette Manufacturing / Reel Manufacturing,250000.0,2.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Pvt Ltd,Shri Jagadamba Enterprises,"Dry Coal Processing, Mineral Processing, Industries Involving Ore Sintering, Pelletisating, Grinding And Pulverisation",500000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Proprietary,Etihad Enterprises,Electric Lamp ( Bulb) And Ge Manufacturing By Assembling Only,600000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Pvt Ltd,Miam Valves Private Limited,Reprocessing Of Waste Plastic Including Pvc,600000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Proprietary,Sree Laxmi Plastics,Reprocessing Of Waste Plastic Including Pvc,250000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Proprietary,Lodha Jewellers,Fountain Pen Manufacturing By Assembling Only,500000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Pvt Ltd,Lepo India Private Limited,"Carpentry & Wooden Furniture Manufacturing (Excluding Saw Mill) With The Help Of Electrical (Motorized) Machines Such As Electrical Wood Planner, Steel Saw Cutting Circular Blade, Etc",300000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Proprietary,Maheshwari Metal Industry,Compact Disc Computer Floppy And Cassette Manufacturing / Reel Manufacturing,650000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Proprietary,Dragan Paper Products,Printing Or Etching Of Glass Sheet Usinghydrofluoric Acid,350000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Medium,Proprietary,Aks Packaging,Digital Printing On Pvc Clothes,400000.0,6.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Proprietary,Sunil Enterprises,"Dry Coal Processing, Mineral Processing, Industries Involving Ore Sintering, Pelletisating, Grinding And Pulverisation",300000.0,8.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Medium,Proprietary,Sia Publishers & Distributors Private Limited,"Pulp & Paper ( Large-Agro + Wood) , Small Pulp &Paper ( Agro Based-Wheatstraw/Rice Husk)",700000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Proprietary,Daivikam Industries,Glass Putty And Sealant ( By Mixing With Machine Only),400000.0,8.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Proprietary,Saran Jute Bags,Ice Cream,200000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Partnership,Shri Shakthi Ganapathi Enterprises,Pulverization Of Bamboo And Scrap Wood,500000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Proprietary,M/S.Hafizul Gold Work Shop,Coffee Seed Processing,200000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Pvt Ltd,Truelyser Biosystems Private Limited,Ply-Board Manufacturing (Includingveneer And Laminate) With Oil Firedboiler/ Thermlc Fluid Heater(Withoutresin Plant),500000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Proprietary,New Famous Boxers Manufacturers,Leather Foot Wear And Leather Products (Excluding Tanning And Hide Processing Except Cottage Scale),500000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Micro,Partnership,Chandrashekar Furniture Works,"Silk Screen Printing, Sari Printing By Wooden Blocks",500000.0,6.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Pvt Ltd,Navbharat Seeds Private Limited,Thermal Power Plants,350000.0,3.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Large,Proprietary,Vaibhav Enterprises,Dismantling Of Rolling Stocks ( Wagons/Coaches),700000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Proprietary,Mm Enterprises,Fertilizer (Granulation/ Formulation/ Blending Only),250000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Proprietary,Amin Jewellery Art,"Modular Wooden Furniture From Particle Board, Mdf< Swan Timber Etc, Ceiling Tiles/ Partition Board From Saw Dust, Wood Chips Etc., And Other Agricultural Waste Using Synthetic Adhesive Resin, Wooden Box Making ( With Boiler)",500000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Proprietary,Intellisence Enterprises,Power Looms (Without Dye And Bleaching),500000.0,6.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Proprietary,Mohd Afsar Engineering Works,Electric Lamp ( Bulb) And Ge Manufacturing By Assembling Only,300000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Medium,Proprietary,Ipm Bio Control Labs Pvt Ltd,Compact Disc Computer Floppy And Cassette Manufacturing / Reel Manufacturing,500000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Medium,Proprietary,Blot Industries,"Manufacturing Of Tooth Powder, Toothpaste, Talcum Powder And Other Cosmetic Items",300000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Golconda,Small,Proprietary,Tayal Jewellers,"Flyash Export, Transport & Disposal Facilities",500000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Himayathnagar,Small,Proprietary,Amar And Sons Trading,Organic And Inorganic Nutrients ( By Physical Mixing),300000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Himayathnagar,Small,Proprietary,Rasheed Fabrication Works Private Limited,Pharmaceutical Formulation For R & D Purpose (For Sustained Release/Extended Release Of Drugs Only And Not For Commercial Purpose),500000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Himayathnagar,Small,Pvt Ltd,Yousufain Furniture & Timber,"Modular Wooden Furniture From Particle Board, Mdf< Swan Timber Etc, Ceiling Tiles/ Partition Board From Saw Dust, Wood Chips Etc., And Other Agricultural Waste Using Synthetic Adhesive Resin, Wooden Box Making ( With Boiler)",600000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Himayathnagar,Small,Partnership,Earthica,"Cement Products (Without Using Asbestos / Boiler / Steam Curing) Like Pipe ,Pillar, Jafri, Well Ring, Block/Tiles Etc.(Should Be Done In Closed Covered Shed To Control Fugitive Emissions)",500000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Himayathnagar,Medium,Proprietary,Safa Society,Coke Briquetting ( Sun Drying),400000.0,10.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Himayathnagar,Small,Proprietary,Tamoghna Foods & Beverages Private Limited,"Fermentation Industry Including Water Polluting Manufacture Of Yeast, Beer, Distillation Of Alcohol (Extra Neutral Alcohol)",500000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Himayathnagar,Small,Proprietary,Malik Jewellers,Airports And Commercial Airstrips,500000.0,5.0,Active,No,Ht,NO,,,0.0,,,
Hyderabad,Himayathnagar,Small,Proprietary,Ossv Secure Print Pvt Ltd,Polythene And Plastic Processed Products Manufacturing(Virgin Plastic),200000.0,5.0,Active,No,Ht,NO,,,0.0,,,
